,Comment.1,AustralianSuperMainFund,polarity,subjectivity
837,"Ease of use, good returns,",8.0,0.7,0.6
838,Good results over the last few years.,8.0,0.17,0.26
839,Not discussed often,5.0,0.0,0.0
841,Service has been fine so far,8.0,0.26,0.75
842,Seems ok,8.0,0.5,0.5
843,"Because i believe your making a sercurity to my retirement...as i will 70 in two years ..so i believe that other people can benefit from from this super fund,",10.0,0.1,0.52
844,always ahs provided a good return,9.0,0.7,0.6
845,I have found the fund to be very good at investing and getting the returns for my money. I believe the fund to be ethical and have my best interests at heart. They are earning for the members and not for corporations.,10.0,0.7,0.56
846,I believe Aust Super is very good among others,9.0,0.62,0.72
847,My super is growing effortlessly and the service is great,8.0,0.57,0.71
848,Slow communication Delayed statement figures Expenditure on glossy but meaninless self promotion,4.0,-0.3,0.4
849,No reason not to...yet!!!,7.0,0.0,0.0
852,Relatively safe with return,7.0,0.5,0.5
853,Long time member. No problems,8.0,-0.05,0.4
854,Good service great returns,10.0,0.75,0.68
855,easy to communicate with and also come to our workplace for information sessions,8.0,0.43,0.83
856,It took a long time for an income protection claim to be paid,7.0,-0.05,0.4
857,it looks good,10.0,0.7,0.6
858,better returns than expensive commercial funds,9.0,0.0,0.4
859,I'm happy with the service they provide and the returns in my fund,8.0,0.8,1.0
860,Its good that you have a socially aware super but its not enough. As a customer i would prefer that all money you invest is socially aware. Climate change is a huge problem that no one is addressing properly.,3.0,0.28,0.47
861,good rates and policies,10.0,0.7,0.6
862,they try to get the best returns,10.0,1.0,0.3
864,As i thought Australia supper is safe on the long term and good system for Australian people to support.,8.0,0.29,0.38
865,because they can find there own super that they want,3.0,0.47,0.83
866,good superfund,10.0,0.7,0.6
867,"unless they're gonna pay me to promote them I would have to be very, very happy with any product I use to recommend them",1.0,1.0,1.0
868,They offer good service,8.0,0.7,0.6
869,no reason,5.0,0.0,0.0
870,Performance and security,10.0,0.0,0.0
871,"because I cannot even remember why I joined them, and I havnt really had any problems with it so far...",5.0,0.15,0.6
872,"You are one of the better performing funds. Although, when the GFC occurred in 2006. I lost 10% of my super. It all starts with a rumour that escalates out of control. It's so wall street can steal people's money and get away with it. This is why World Trade Centre-7 was demolished so the financial records of **** like Bernie Madoff and ENRON would be destroyed.",10.0,0.28,0.39
873,"I have been with Australian Super for quite a few years and have received great customer service, regular updates and newsletters.",10.0,0.19,0.32
874,always been with them and never had an issue,8.0,0.0,0.0
875,Easy to get info and decent performance,8.0,0.3,0.75
876,Not enough information given to members about other services offered. ie life assurance,5.0,-0.06,0.44
877,Profitable Industry Super Fund,8.0,0.33,0.67
878,I am neither likely or to likely to recommend,5.0,0.0,1.0
879,"I have been with Australian Superfund for over 13 years. They are great, regardless of which industry I find myself in. Will stand by my Super fund.",10.0,0.38,0.47
880,"My records have been lost, I cannot access and have confirmation if some funds were rolled over to my account from former superannuations",3.0,0.0,0.0
881,"I have never had a problem Australian Super, I have regular updates of my Super sent out to me.",10.0,0.17,0.35
882,"Fees, investment choice ease",9.0,0.0,0.0
883,Good returns and stability.,7.0,0.7,0.6
884,Its not something I think about,2.0,0.0,0.0
885,I have turned 50 and I know that there are tax incentives available but you have not contacted me personally about them which leave neither of us benefiting from them.,5.0,0.2,0.35
886,reasonable performance and lower fees,7.0,0.2,0.6
887,Dont know any better,10.0,0.5,0.5
889,I've always been with Australian Super,10.0,0.17,0.33
890,Industry fund,10.0,0.0,0.0
891,No help on the phone and i still cannot view my account online.,1.0,0.0,0.0
892,No reason,5.0,0.0,0.0
893,Performance,7.0,0.0,0.0
894,Good rate of return,9.0,0.7,0.6
895,I don't know if this super is better than others.,6.0,0.42,0.58
896,Low fees and relatively good returns,8.0,0.35,0.45
897,only fund i know,6.0,0.0,1.0
898,profits to members,7.0,0.0,0.0
899,happy with results and communication,8.0,0.8,1.0
900,This super fund has out ranked others.,10.0,0.33,0.67
901,Fees are low,8.0,0.0,0.3
902,It's good,8.0,0.7,0.6
903,I'm not either way inclined. I find the whole process of super and the complication related to it beyond what it should be.,5.0,0.18,0.49
904,Big and safe and reasonable returns,8.0,0.23,0.4
905,I haven't any reason to be dissatisfied or otherwise. I really don't pay enough attention to compare it to any other super fund.,5.0,0.1,0.44
906,Im extremely satisfied,10.0,0.5,1.0
907,Safe secure fund with good returns,10.0,0.53,0.57
908,satisfied with how fund is managed,6.0,0.5,1.0
909,Havent any complaints with the fund and honestly cant compare this to any other super funds....,5.0,0.27,0.65
910,Communication is always good and ease of comfort with funds being managed professionally,9.0,0.4,0.35
911,Good returns,8.0,0.7,0.6
912,"too may fees, charges and no personal customer service",1.0,0.0,0.3
913,"The reason is because, I trust and believe that Australian Superfund is the good for the future and safe Investment. However I don't anything about this Superfund. i.e : How my money is invested or what fees I have to pay.",10.0,0.3,0.31
914,I have been happy with their performance in advancing my investment.,8.0,0.8,1.0
915,"The slowness Australian Super is taking in combining my other super accounts into my newly created AusSuper account. Terribly slow, even tho the online ""easy steps"" state it will all be looked after, it still hasn't happened after weeks!",2.0,0.13,0.49
916,Responding to queries relating to consolidating my other Superfunds into Australian Super is extremely poor.,1.0,-0.05,0.41
917,Overall cost in the long run is the lowest.,8.0,-0.03,0.2
918,.....,0.0,0.0,0.0
919,noncommital,5.0,0.0,0.0
920,The performance is very good,10.0,0.91,0.78
921,The account and administration keeping Fees are to high. Investment performance is average. Not enough options for accessing Super Funds for over 55 year olds. To high costs for over 55 year olds to access Super Fund early.,3.0,0.13,0.52
922,I think it is an average performance - not bad but certainly not great,5.0,-0.07,0.61
923,Itscompetitive,10.0,0.0,0.0
924,"Size, low cost, good insurance and good returns",8.0,0.47,0.5
925,I also work in Payroll and Australian Super are very easy to work with,9.0,0.3,0.56
927,Industry fund and the largest fund,9.0,0.0,0.0
928,Seems good,8.0,0.7,0.6
929,I'm very happy with my Australian Super account's performance.,10.0,0.44,0.56
930,not sure,5.0,-0.25,0.89
932,most of my friends are retired,8.0,0.5,0.5
933,Very HARD to deal with on the phone,6.0,-0.38,0.7
935,Australian Super is a very good fund,10.0,0.41,0.48
936,Never see a Australian representive where other supers have representives dropping in at workplaces,3.0,-0.06,0.19
937,Happy with your performance,8.0,0.8,1.0
938,I am dealing with a deceased estate at present and nobody will return my calls.,0.0,0.0,0.0
939,"Very helpful, easy to use",10.0,0.32,0.57
940,Very happy with the return,10.0,1.0,1.0
941,easy to understand statements . very good returns on my super,10.0,0.56,0.76
942,Update to the members direct website has tried to dumb it down and made it confusing and lacking in expected functionality to enable investment in the stockmarket,6.0,-0.17,0.4
943,its ok,6.0,0.5,0.5
944,I've been with Australian Super for a long time and have always been happy with the product and the returns.,10.0,0.27,0.52
945,"Usually above average performance More people in fund, better for those involved",8.0,0.21,0.38
946,cause you don't do that much for me.,5.0,0.2,0.2
947,"Large fund., good returns .",6.0,0.46,0.51
949,Its well known and thus it should be secure. But I dont like the high management fees and poor returns,5.0,0.05,0.58
951,more work needed,8.0,0.5,0.5
952,The results are neither here nor there.,6.0,0.0,0.0
954,Easy people to deal with,9.0,0.43,0.83
956,security of fund,9.0,0.0,0.0
957,Over time period the performance had not been very good,3.0,0.91,0.78
958,Because I get the information I need and I get my statements so that I know how much I have.,9.0,0.2,0.2
959,There fees are reasonable,8.0,0.2,0.6
960,I have most of my money in this super,10.0,0.42,0.58
961,No other choice.,7.0,0.06,0.38
962,Maybe I would yet maybe there are better funds.,5.0,0.5,0.5
963,It is helpful for us and is our responsibility too,7.0,0.0,0.0
964,Investing is personal and I'd not be interested in pushing my views onto anyone,3.0,0.12,0.4
965,Just do that,0.0,0.0,0.0
966,The website is cumbersome to use.,7.0,0.0,0.0
967,From the day my income protection started your draconian miss leading company all have done is try to find reasons to reduce my protection while I suffered .,0.0,0.0,0.0
968,the best,10.0,1.0,0.3
969,Lower fees and larger fund with recorded better returns,7.0,0.25,0.5
970,"low fees, ease of use - able to change how my money is used to increase the fund. great customer service",10.0,0.43,0.56
972,not sure other people be to recommend.,0.0,-0.19,0.63
973,They offered me great feedback and advice over the phone in a time where a new resident to australia had no idea what was SUPER even. Thank you for your customer service,9.0,0.42,0.62
974,Found staff to be very accommodating.,10.0,0.2,0.3
975,no reason,5.0,0.0,0.0
976,Consistent growth Ongoing support for income protection policy component of the fund,10.0,0.25,0.25
977,not interested,0.0,-0.12,0.5
980,Because you continually inform your clients of whats going on.,10.0,0.0,0.0
981,website system,7.0,0.0,0.0
982,Good returns.,10.0,0.7,0.6
983,Good results easy to talk too and very helpful,10.0,0.44,0.58
984,After recent contact with Australian Super by email and phone just to request a simply letter so we as self employed business owners could submit our tax the service was unacceptable as well as the fact of it taking over a month to procurer a simply letter !!!,0.0,0.07,0.33
985,VERY SLOW IN ACCESSING FUNDS,3.0,-0.39,0.52
986,Not sure it the best one on the market for me.,2.0,0.38,0.59
987,"Have had great service and great returns, keep up the good work.",10.0,0.77,0.7
988,I have had good service,8.0,0.7,0.6
989,It performs quite well but is not as green as I would prefer for full marks,7.0,0.07,0.43
990,its Australian,10.0,0.0,0.0
991,Good returns. Flexible investment choices,10.0,0.7,0.6
992,Can't fault what they do. Although the website could be a lot better,6.0,0.5,0.5
993,Neutral about it all,4.0,0.0,0.0
995,"Friendly, safe and simple. Easy to access to your account..",6.0,0.33,0.55
996,"Low cost, good returns, profit for members",9.0,0.35,0.45
997,Australian easy to.manage,8.0,0.22,0.42
998,Industry based not for profit. Low fees comparatively. Reasonable returns.,9.0,0.1,0.45
999,reliable,10.0,0.0,0.0
1000,"Reasonable returns, good day to day support. Customer orientated",8.0,0.45,0.6
1001,kept in the dark about what actions to take,0.0,-0.15,0.4
1002,"I've been with Aust. Super/(STA) for a long time and find them easy to deal with, fair and communicative.",10.0,0.36,0.71
1003,Australian Super have always been helpful and efficient.,10.0,0.17,0.33
1004,never any issue with Australian super,9.0,0.17,0.33
1005,GOOD CONSISTANT RESULTS,8.0,0.7,0.6
1007,i find the staff at australian super to be very friendly and informative and the service has been fantastic every payment has been up to date and on time for me i would recommend your company to anyone,10.0,0.31,0.55
1008,Have always had good returns,10.0,0.7,0.6
1009,"Good returns, low fees, industry super fund.",10.0,0.34,0.52
1010,ok I guess,7.0,0.5,0.5
1012,it is easily accessable,8.0,0.43,0.83
1014,Easy to manage super myself - no fees!,8.0,0.42,0.75
1015,Extremely happy with performance,10.0,0.8,1.0
1016,I am very satisfied with mine,10.0,0.65,1.0
1017,I have only been with them a short time so will have to wait and see what happens going forward.,7.0,0.0,0.65
1018,Great communication and benefits.,8.0,0.8,0.75
1019,Always had very professional and friendly assistance to my queries and it seems to improve my balances,10.0,0.25,0.32
1020,Ease of access and use,8.0,0.0,0.0
1023,"Very satisfied with Australian Super service, fund management and low fees.",9.0,0.25,0.49
1026,I wouldn't typically recommend Super funds. Just happens to be the default fund through my original workplace.,5.0,0.18,0.64
1028,Don't really pay too much attention to my super,6.0,0.24,0.36
1029,just like that,8.0,0.0,0.0
1031,Equal to most funds with decent returns and flexibility,8.0,0.22,0.47
1032,No choice given when setting up,2.0,0.0,0.0
1033,Know no different,8.0,0.0,0.6
1034,NPS is a stupid question. I'm a detractor even though I'm happy with Aust super. But I wouldn't recommend a fincial product because it's serious stuff & im no expert,3.0,0.0,0.83
1035,I don't give financial advice/recommendations to anyone. I will give an opinion if asked.,0.0,0.0,0.0
1036,"I am quite out of the loop, so to speak, in regards to super and mine in particular so I don't really know how well AustralianSuper does in comparison to other funds.",5.0,0.14,0.39
1037,Likely to recommend to friend as join in from company advised.,5.0,0.0,1.0
1040,I have neither the desire or dissatisfaction to recommend or not.,5.0,0.0,0.0
1041,I am satisfied with the performance of Aust. Super.,7.0,0.42,0.83
1043,"My experience with Australian Super along with low fees and charges makes it a no brainer. ,",10.0,0.11,0.32
1044,Not too sure,7.0,0.5,0.89
1045,"Good performance, no crazy fees.",9.0,0.5,0.75
1046,Low fees Consistently top 10 fund,9.0,0.25,0.4
1047,I believe them to be the best for most Australians,10.0,0.75,0.4
1048,"Good customer service, easy of access to see how your super is going and how other choices in the fund are performing.",7.0,0.34,0.62
1049,It seems to be the right place to be for super,8.0,0.31,0.6
1050,"Good returns, reasonable fees, good communications, professional organisation",8.0,0.42,0.48
1051,Everyone should decide for themself,6.0,0.0,0.0
1052,Have had very lityle to do with Australian Super so will havr to wait to pass judgment,5.0,0.18,0.32
1053,"Good returns, Union and Employer supported, low fees, reasonable Web interface.",9.0,0.3,0.5
1054,Great service,9.0,0.8,0.75
1055,After my last interaction with 1 of the team members and some very honest communication about why there are so many checks and balances the way forward for us is a lot clearer,7.0,0.43,0.52
1056,"Great reputation, Great company",10.0,0.8,0.75
1057,Statements are updated and easy to deal with online.,8.0,0.43,0.83
1058,I have had no problems with this fund,9.0,0.0,0.0
1059,great service and performance,10.0,0.8,0.75
1060,Its not something people talk about or ask advice on. When you start a job you are focused on the start date and your first pay packet.,0.0,0.25,0.33
1062,"So far I have been happy with the Aust. Super , but I am not at the end of the journey",8.0,0.41,0.89
1063,"I am happy with Austrlian Super but I think they could do better in being more open about where their/our funds are invested and they need to work harder to put together a totally ethical fund, ie no fossil fuels and no investing in other entities which invest in fossil fuels either",7.0,0.26,0.52
1064,The return is reasonable and I feel well looked after.,10.0,0.2,0.6
1068,It OK,7.0,0.5,0.5
1069,Average performance and poor customer care when help needed,5.0,-0.28,0.5
1070,I am happy with the returns and have taken up Transition to Retirement and found Australian Super very informative and helpful,8.0,0.33,0.49
1071,"Every one has their ,own super.",7.0,0.47,0.83
1073,its a good super,9.0,0.52,0.63
1074,Good performance,9.0,0.7,0.6
1075,I am retired and my super keeps growing even though I am receiving a pension from it.,8.0,0.33,0.67
1076,Less fee and willing to help,10.0,0.04,0.41
1078,"Low-cost, highly reputabel fund.",10.0,0.16,0.54
1081,.,7.0,0.0,0.0
1082,Better performance and lower fees but bureacratic,7.0,0.5,0.5
1083,good fund with good returns,9.0,0.7,0.6
1084,Not something I discuss with friends,6.0,0.0,0.0
1085,i like it,7.0,0.0,0.0
1086,it is based on the performance of Australiansuper.,10.0,0.0,0.0
1087,?,8.0,0.0,0.0
1088,Good return on my investment so far,8.0,0.4,0.8
1089,"Good returns, good information",8.0,0.7,0.6
1090,"I would recommend Australian Super to friends and family. However, I have never done research into superfunds. But I am happy with them.",8.0,0.38,0.56
1091,No reason ... Austrlian super had most of funds,7.0,0.42,0.58
1092,GOOD RETURN FOR YOUR MONEY,8.0,0.7,0.6
1093,You haven't stolen all my money yet.,6.0,0.0,0.0
1094,Friends and relatives are in this fund and your marketing was convincing.,6.0,0.5,1.0
1095,nice,9.0,0.6,1.0
1096,good return,10.0,0.7,0.6
1098,lower fees,5.0,0.0,0.0
1099,"Preformance, communication and at this stage a lowish cost",8.0,0.0,0.0
1100,"Lower costs, better returns",10.0,0.5,0.5
1101,Think about my furtiner,7.0,0.0,0.0
1102,Always prompt never had a problem.,10.0,0.0,0.0
1103,just happy with service.,5.0,0.8,1.0
1104,good performance and management,10.0,0.7,0.6
1105,"Industry fund, very large, very well managed.",10.0,0.24,0.43
1106,I'm happy with Aust Super but I don't recommend any financial arrangements to anyone.,6.0,0.38,0.56
1107,been hassle free,10.0,0.4,0.8
1108,I do not see any improvement on my balance other than what is paid in from my salary.,5.0,-0.12,0.38
1109,low fees,7.0,0.0,0.3
1110,I got my husband to change to Australian Super and two out of my three children have recently joined.,10.0,0.11,0.31
1111,Because it's the only one I really know,10.0,0.1,0.6
1112,"I am retired and have only small amounts going to Super because of occasional casual employment. In my perception the fees and insurance automatically applied to small account holders is far too high and erodes the value of the account. Other Super funds exempt accounts with balances less than $1000, why not Australian Super",3.0,-0.0,0.52
1113,I feel they are a reasonable super fund.,5.0,0.27,0.63
1114,"simply, good returns, low fees",8.0,0.35,0.45
1115,I worked for the ABS on teh census and all of my money put into my super account by the ABS was used to pay income insurance which I never wanted or needed,0.0,0.33,0.67
1116,Size,8.0,0.0,0.0
1117,Because all our dealings with them have been quick. Getting good returns,8.0,0.52,0.55
1118,Someones gonna be loaded when I die.,10.0,0.0,0.0
1119,Seems ok to me,8.0,0.5,0.5
1120,all good,8.0,0.7,0.6
1121,They have been fairly helpful in helping me to do TTR recently,10.0,0.35,0.57
1122,Don't know anything about others,8.0,0.0,0.0
1124,"Industry Super Fund, and its Australian, excellent track record",10.0,0.44,0.56
1125,generally a fair positive return,8.0,0.46,0.72
1126,Always earning good interest,6.0,0.7,0.6
1127,"Australian Super is so easy to be a member of. Ask a question and it is answered immediately, and if that Person doesn`t know, they will put you in touch with somebody who does. Australian Super staff are just wonderful to deal with.",10.0,0.35,0.53
1128,They're ok but not brilliant,6.0,0.02,0.75
1129,good solid returns on my investments,8.0,0.35,0.35
1130,best value quality of staff,10.0,1.0,0.3
1131,hard to get in touch and took years to get you to process my account into my one and only every used name even though id sent you 2 lots of certified docs.,4.0,-0.15,0.77
1132,I would advise friends to evaluate for themselves and not give any advice,5.0,0.0,0.0
1133,being one of the best super funds,9.0,0.67,0.48
1134,"Good returns mostly , but also check my wifes host plus",9.0,0.6,0.55
1135,wise investment strategies and comfortable returns,9.0,0.55,0.85
1136,good super not enough info on how the fund is going.,5.0,0.34,0.59
1137,So far have been relatively happy with this fund,5.0,0.45,1.0
1138,"Neutral as I do not explore much of my own super in Australian Super Fund, so could not speak much about it.",5.0,0.29,0.51
1139,"Very difficult to navigate, especially on a smartphone,i if you also have a pension account, you are only able to see the super accounts",10.0,0.04,0.86
1140,"insurance charges on the my super a/c is very high with compare to some other supers, it is more than $500 year,according to me it is really big potion going out from contribution money over 1 year.",8.0,0.18,0.47
1142,confidant looking forward,10.0,0.0,0.0
1143,"Good returns, reasonable fees",10.0,0.45,0.6
1145,I do not recommend anything to anyone. Try asking how satisfied I am ?????? I hate this question everyone seems to have adopted,0.0,-0.15,0.95
1146,Still investing in fossil fuel companies and unsustainable property investments. Members cannot access complete disclosure of companies invested in.,0.0,0.1,0.4
1147,they're the best and it's easy,8.0,0.72,0.57
1148,"Our relationship is young yet, but the initial impression is good.",8.0,0.27,0.33
1149,As far as I know some investment strategies may involve links to fossil fuel industries,7.0,0.1,1.0
1151,"Local fund, yet to have any problems with them.",7.0,0.0,0.0
1153,I like the scale,8.0,0.0,0.0
1154,So far so good. Easy to transfer super into Australian Super. Insurance transfer also smooth.,10.0,0.33,0.61
1155,minimal fees,6.0,-0.1,0.6
1156,"although I would not suggest any investment to another person, if asked I would recommend Australian super.",9.0,0.17,0.33
1157,As AS has grown in size it has become the same as all the major funds and institutions which were rorting the members to pay over inflated wages of underperforming so called fund managers !,5.0,0.04,0.31
1159,AusSuper has performed well over the years,6.0,0.0,0.0
1160,Ok returns although fees are too high.,6.0,0.33,0.52
1161,"good returns, easy to manage, good reputation",8.0,0.61,0.68
1162,Reasonable performance compared to the market.,7.0,0.2,0.6
1163,Easy to use website & always performs well.,10.0,0.43,0.83
1164,"as they are easy to contact, Australian Super Statements are easy to ready and understand and you can actually see your super fund increase.",10.0,0.25,0.51
1165,n/a,6.0,0.0,0.0
1167,good results,10.0,0.7,0.6
1168,well managed fund at low cost,10.0,0.0,0.3
1169,can be better information,7.0,0.5,0.5
1170,Performance is ok,8.0,0.5,0.5
1171,ease of use checking my balance - easy to change amounts going into my fund- and low if any charges,10.0,0.22,0.57
1172,They seem to be one of the best ones fir saving your money and getting investment returns on your funds.,8.0,1.0,0.3
1173,i don't know enough about it.,5.0,0.0,0.5
1174,i am fully satisfied with their services,10.0,0.5,1.0
1175,Don't really know what is the benefit just have always been with Australian super since I started full time work,5.0,0.22,0.35
1176,"dont go recommending super products very often , doesnt come up in conversation",5.0,0.27,0.48
1177,I've generally had reasonable responses to my queries,7.0,0.12,0.55
1178,ease of use and works for me,10.0,0.0,0.0
1179,no updating,4.0,0.0,0.0
1180,Satisfaction,10.0,0.0,0.0
1181,excellent product,10.0,1.0,1.0
1182,"you have **** me around with MY total disabliy payment when i have sent you the letter from my oncolagist saying i cannot work again, i have been trying to get 3grand out of aust supper for about 3 weeks now and you cant send paperwork, not happy, John Shipard",0.0,-0.2,0.88
1183,Not Sure,7.0,-0.25,0.89
1184,Good services and products. Safe and reliable option.,8.0,0.6,0.55
1185,I dont know my log in details and i cant reset it,6.0,0.0,0.0
1186,Really happy with the service and the returns. They are straight forward and user friendly.,10.0,0.46,0.63
1187,Australians per always contact to us.,1.0,0.0,0.0
1188,Not sure if Australian Super is doing enough to grow my super money.,5.0,0.08,0.54
1189,Don't really talk about super with my friends.,5.0,0.27,0.43
1190,We have been most satisfied with the service given.,10.0,0.5,0.75
1192,Good returns,10.0,0.7,0.6
1193,better than average experiences so far.,6.0,0.15,0.63
1195,-,8.0,0.0,0.0
1198,great performance,9.0,0.8,0.75
1199,I've been with them for over 30 years without any major memorable issues.,8.0,0.28,0.75
1200,My only fund,10.0,0.0,1.0
1201,Because I consider is the best,10.0,1.0,0.3
1203,Service,10.0,0.0,0.0
1204,"Low fees, good returns",9.0,0.35,0.45
1205,Good Service Good interest returns over many years,9.0,0.63,0.57
1206,Website easy to use. Advice on investments and use excellent.,10.0,0.72,0.92
1207,"The fund performs well, we receive good information, and any queries we have are always immediately dealt with.",9.0,0.7,0.6
1208,If it came up in conversation - I'd recommend they consider Australian Super - good fund.,7.0,0.34,0.42
1209,To much rely on intnet needed help reclaiming lost super from tax office . Left do try and do on my own,8.0,0.28,0.47
1210,"seem to have reasonable fees, I get regular updates from them",9.0,0.1,0.34
1211,Next question,10.0,0.0,0.0
1212,I have never had any problems with Australian Super or it's service.,10.0,0.17,0.33
1216,"without asking or inform me charging insurance fee, and when I rang and asked about it, have been told I will receive some information by mail. I received the letter to inform me next time I call to be charged 180 +dollars for any information.",0.0,0.0,0.0
1218,Trustworthy,8.0,0.0,0.0
1219,Happy with the returns and service provided,8.0,0.8,1.0
1220,I think it's a pretty reliable fund,6.0,0.25,1.0
1221,Good service and good returns,7.0,0.7,0.6
1222,"Size, reputation",7.0,0.0,0.0
1223,n,5.0,0.0,0.0
1225,no answer,10.0,0.0,0.0
1227,Good industry fund,9.0,0.7,0.6
1229,"Low fees, good returns, reasonable support, good online access.",10.0,0.4,0.53
1230,"I have always found it difficult to talk to someone, I am tired of trying to contact Australian Super and only get an electronic response or computer data sheet which I can not understand.",5.0,-0.11,0.67
1231,no reason,9.0,0.0,0.0
1232,Research I have conducted indicated that this was the better in relation to fees charged.,6.0,0.5,0.5
1233,Pretty good return on your super and low management fees,9.0,0.32,0.64
1235,because it a great super,7.0,0.57,0.71
1236,Good performance and service,9.0,0.7,0.6
1237,Steady returns over the years,8.0,0.17,0.5
1238,good customer service and great returns,9.0,0.75,0.68
1239,im looking at changing atm,2.0,0.0,0.0
1240,"Client based, easily contacted and helpfull plus Bernie Fraser used to do your promos and if you can't trust Bernie then who can you trust ha ha.",10.0,0.43,0.83
1241,Super investments are well researched to give members a great outcome!,10.0,0.67,0.71
1242,i'm very satisfied with the results,10.0,0.65,1.0
1243,"I have been a member since 1999 and have always received good service and in the main been happy with the returns, the ease of changing the portfolio and low fees.",9.0,0.42,0.56
1244,.,10.0,0.0,0.0
1245,.,5.0,0.0,0.0
1246,Always keep in touch and easy to get in touch with ... and helpful and knowledgeable,10.0,0.43,0.83
1247,"good, safe and consistant returns",8.0,0.6,0.55
1248,I think Australian Super is wealthy with lots of good assets,10.0,0.38,0.57
1249,Simplicity of use! But some correspondence and jargon can hard to understand!,8.0,-0.36,0.54
1250,Low management fee and good service.,10.0,0.35,0.45
1252,Because your staff and company are very friendly and helpful in all areas of your super. I am very happy with Australian super.,10.0,0.43,0.6
1253,I have never had any issues with AustralianSuper,9.0,0.0,0.0
1254,Australian Super has always performed well. I don't know about other funds but Aust Sup web site is easy to use and the information is clear.,8.0,0.15,0.45
1255,No office in Tasmania,1.0,0.0,0.0
1256,simplicity of accessing the website and manage the account myself,8.0,0.0,0.0
1257,It's expensive but that's not a problem for most people except me.,5.0,0.0,0.6
1258,employeer pay for work super,5.0,0.33,0.67
1259,Good,7.0,0.7,0.6
1260,For my future,8.0,0.0,0.12
1261,"Good returns, low fees",7.0,0.35,0.45
1262,n/a,7.0,0.0,0.0
1263,Dont get into subject of superfund,5.0,-0.17,0.33
1264,I've been happy with Australian super,8.0,0.38,0.56
1266,Still new to how Australia does retirement funds. I've been a bit surprised about the charges to my account.,5.0,0.12,0.68
1267,good returns,10.0,0.7,0.6
1268,Good variety of investment options and low fees.,8.0,0.35,0.45
1269,Good,9.0,0.7,0.6
1270,i have no problems with you,5.0,0.0,0.0
1271,very good SUPER .,10.0,0.62,0.72
1273,"It is the only one I have ever had and I am very happy with how the super fund is going. I read and go on line to search all the information about the fund that I can,",8.0,0.44,0.89
1274,My spouse is in Unisuper and we are far happier with it over Australian Super,3.0,0.14,0.56
1275,service and performance,10.0,0.0,0.0
1276,service and price,8.0,0.0,0.0
1277,work for me,9.0,0.0,0.0
1278,Performance good. Union influence is a concern which I can get no information on despite stating it in every survey.,7.0,0.7,0.6
1279,Because l feel it is a great super fund,9.0,0.57,0.71
1280,Superannuation is not something I ever recommend as it can come back and bite you!,0.0,0.0,0.0
1282,"You steal all my money it is a big scam even if I didn't have the insurance I would have still lost money every year so far, I would have been better off with the money in my own savings account",0.0,0.3,0.65
1284,Why not. All is good.,10.0,0.7,0.6
1285,They have been my only Super for many years. I trust them to do the right thing by my money.,10.0,0.28,0.68
1286,very small despite many years & 17 qualifications,3.0,0.09,0.51
1287,Like all super funds - for the layman - just have to trust that the company is doing its best for its members,8.0,0.67,0.48
1288,Because of the returns & low fees,10.0,0.0,0.3
1289,Hard to get info on my super,5.0,0.02,0.6
1290,"Always been prompt responders, good growth",10.0,0.7,0.6
1291,very good and helpful.,9.0,0.91,0.78
1292,B,5.0,0.0,0.0
1293,No clear communication No contacts with customer No information related to Super and options to upsell or cross sell Pretty laid back approach in terms of contact with customer Seems to be operating like a ulitlity company rathen than a Super,2.0,0.12,0.45
1294,Good fund,10.0,0.7,0.6
1295,"Reliability, earning capacity and ease of access to information.",10.0,0.0,0.0
1296,Because the performance is good,7.0,0.7,0.6
1297,Its transportable,7.0,0.0,0.0
1298,"This is a relatively new fund for me and while I have been impressed so far and intend committing more funds to it, I have not been with it long enough to recommend it.",6.0,0.28,0.64
1299,Great company,10.0,0.8,0.75
1300,Not easy enough to switch money between higher and lower risk investments,7.0,0.01,0.61
1302,You keep your members up to date with everything that is going on regarding super and your report on individual accounts is clear and comprehensive.,10.0,0.14,0.48
1303,"I believe that Aust Super does do its best on behalf of its members and offers some good investment choices. However, I would be even more impressed if the fund decided to divest itself from investment in the fossil fuel industry and anything to do with the national energy grid. In one sense, whilst it seems like a good stable investment, any profits are earned from the household budgets of its members.",8.0,0.62,0.52
1304,Because of my wife,1.0,0.0,0.0
1306,seems to perform well,7.0,0.0,0.0
1307,I trust that my superannuation investments are safe and well-managed,10.0,0.5,0.5
1309,Impressed with annual returns & frequent but non-intrusive feedback.,9.0,0.55,0.65
1310,Low cost Direct share ownership,10.0,0.05,0.35
1311,"GOOD WEBSITE, GOOD RETURNS good interactions vis phone and in person",9.0,0.7,0.6
1313,Happy with the fees and the returns,8.0,0.8,1.0
1314,Reliable,8.0,0.0,0.0
1315,No transparency on admin and other fees being charged every month. No clarity on fund performance and how much did my super fund make. Absolutely no proactive help or financial advise. Bad overall digital customer experience.,2.0,-0.05,0.35
1318,we got no problem with australian super ever since.,10.0,0.17,0.33
1319,Industry fund with good insurance options and the ability to trade on the ASX,8.0,0.7,0.6
1320,"I have been with Australian Super personally for many years, but I also recommend the fund for many of the companies that I work for as their Choice of Fund simply because 1. You can always speak to someone in Australia on the phone whom understands you clearly, 2. They provide great support for their online services, 3. Provide informative events for staying in touch. 4. There follow up is exceptional.",10.0,0.32,0.5
1321,easier to manager,10.0,0.0,0.0
1322,Good return. Easy Website.,8.0,0.57,0.72
